project,target,configuration,hash,code,status,start,end
nx-semantic-release,build,,4594980740398455224,1,failure,1756804408865,1756804411945
nx-semantic-release,build,,591575197599963204,0,success,1756804530258,1756804533914
nx-semantic-release,build,,591575197599963204,0,success,1756804542314,1756804545681
nx-semantic-release,test,,9788861877129419148,1,failure,1756804545691,1756804599426
nx-semantic-release,build,,7165415353449061581,0,success,1756804705811,1756804709308
nx-semantic-release,test,,14730664154506750341,1,failure,1756804709312,1756804742599
nx-semantic-release,build,,5261567946165211378,0,success,1756805558093,1756805561567
nx-semantic-release,build,,10043139367665878448,0,success,1756806236705,1756806240896
nx-semantic-release,build,,10043139367665878448,0,local-cache-kept-existing,1756806263663,1756806263697
nx-semantic-release,test,,13705090302240703300,1,failure,1756806263711,1756806264192
nx-semantic-release,build,,13132510885147040042,0,success,1756807257092,1756807260684
